,Project,HoleID,From,To,SG,Code,Lith,Geol
10834,UpperCanada,UC13_484,333.15,334.06,2.78,V4,Trachyte,Trachyte
10835,UpperCanada,UC13_484,334.06,334.98,2.79,V4,Trachyte,Trachyte
10836,UpperCanada,UC13_484,334.98,336.19,2.8,V4,Trachyte,Trachyte
10837,UpperCanada,UC13_484,324.92,325.83,2.77,V4,Trachyte,Trachyte
10838,UpperCanada,UC13_484,325.83,326.75,2.79,V4,Trachyte,Trachyte
10839,UpperCanada,UC13_484,326.75,327.66,2.79,V4,Trachyte,Trachyte
10840,UpperCanada,UC13_484,327.66,328.57,2.63,V4,Trachyte,Trachyte
10841,UpperCanada,UC13_484,328.57,329.49,2.76,V4,Trachyte,Trachyte
10842,UpperCanada,UC13_484,329.49,330.4,2.74,V4,Trachyte,Trachyte
10843,UpperCanada,UC13_484,320.34,321.26,2.53,V4,Trachyte,Trachyte
10844,UpperCanada,UC13_484,321.26,322.17,2.82,V4,Trachyte,Trachyte
10845,UpperCanada,UC13_484,322.17,323.09,2.83,V4,Trachyte,Trachyte
10846,UpperCanada,UC13_484,323.09,324.0,2.67,V4,Trachyte,Trachyte
10847,UpperCanada,UC13_484,324.0,324.92,2.79,V4,Trachyte,Trachyte
10848,UpperCanada,UC13_484,346.86,347.78,2.77,V4a,Trachyte Altered,Trachyte
10849,UpperCanada,UC13_484,347.78,348.69,2.74,V4a,Trachyte Altered,Trachyte
10850,UpperCanada,UC13_484,348.69,349.61,2.68,V4a,Trachyte Altered,Trachyte
10851,UpperCanada,UC13_484,349.61,350.52,2.73,V4a,Trachyte Altered,Trachyte
10852,UpperCanada,UC13_484,341.38,342.29,2.77,V4a,Trachyte Altered,Trachyte
10853,UpperCanada,UC13_484,342.29,343.2,2.79,V4a,Trachyte Altered,Trachyte
10854,UpperCanada,UC13_484,343.2,344.12,2.75,V4a,Trachyte Altered,Trachyte
10855,UpperCanada,UC13_484,344.12,345.03,2.81,V4a,Trachyte Altered,Trachyte
10856,UpperCanada,UC13_484,345.03,345.95,2.73,V4a,Trachyte Altered,Trachyte
10857,UpperCanada,UC13_484,345.95,346.86,2.9,V4a,Trachyte Altered,Trachyte
10858,UpperCanada,UC13_484,340.52,341.38,2.73,V4a,Trachyte Altered,Trachyte
10859,UpperCanada,UC13_484,352.35,353.26,2.68,V4,Trachyte,Trachyte
