,Project,HoleID,From,To,SG,Code,Lith,Geol
11193,UpperCanada,UC13_481,406.6,407.52,2.72,ALB,Albite,Albitite
11194,UpperCanada,UC13_481,407.52,408.43,2.76,ALB,Albite,Albitite
11195,UpperCanada,UC13_481,408.43,409.35,2.75,ALB,Albite,Albitite
11196,UpperCanada,UC13_481,409.35,410.26,2.75,ALB,Albite,Albitite
11197,UpperCanada,UC13_481,410.26,411.18,2.7,ALB,Albite,Albitite
11198,UpperCanada,UC13_481,411.18,412.09,3.58,ALB,Albite,Albitite
11199,UpperCanada,UC13_481,400.81,401.73,2.64,ALB,Albite,Albitite
11200,UpperCanada,UC13_481,401.73,402.64,2.72,ALB,Albite,Albitite
11201,UpperCanada,UC13_481,402.64,403.86,2.7,ALB,Albite,Albitite
11202,UpperCanada,UC13_481,403.86,404.77,2.7,ALB,Albite,Albitite
11203,UpperCanada,UC13_481,404.77,405.69,2.72,ALB,Albite,Albitite
11204,UpperCanada,UC13_481,405.69,406.6,2.7,ALB,Albite,Albitite
11205,UpperCanada,UC13_481,395.33,396.24,2.71,ALB,Albite,Albitite
11206,UpperCanada,UC13_481,396.24,397.15,2.7,ALB,Albite,Albitite
11207,UpperCanada,UC13_481,397.15,398.07,2.73,ALB,Albite,Albitite
11208,UpperCanada,UC13_481,398.07,398.98,2.75,ALB,Albite,Albitite
11209,UpperCanada,UC13_481,398.98,399.9,2.72,ALB,Albite,Albitite
11210,UpperCanada,UC13_481,399.9,400.81,2.7,ALB,Albite,Albitite
11211,UpperCanada,UC13_481,390.75,391.67,2.69,ALB,Albite,Albitite
11212,UpperCanada,UC13_481,391.67,392.58,2.68,ALB,Albite,Albitite
11213,UpperCanada,UC13_481,392.58,393.5,2.72,ALB,Albite,Albitite
11214,UpperCanada,UC13_481,393.5,394.41,2.69,ALB,Albite,Albitite
11215,UpperCanada,UC13_481,394.41,395.33,2.68,ALB,Albite,Albitite
11216,UpperCanada,UC13_481,544.07,544.98,2.62,V4Ma,Trachyte mafic altered,Trachyte
11217,UpperCanada,UC13_481,544.98,545.9,2.66,V4Ma,Trachyte mafic altered,Trachyte
11218,UpperCanada,UC13_481,545.9,546.81,2.6,V4Ma,Trachyte mafic altered,Trachyte
11219,UpperCanada,UC13_481,538.58,539.5,2.86,V4Ma,Trachyte mafic altered,Trachyte
11220,UpperCanada,UC13_481,539.5,540.41,2.87,V4Ma,Trachyte mafic altered,Trachyte
11221,UpperCanada,UC13_481,540.41,541.32,2.86,V4Ma,Trachyte mafic altered,Trachyte
11222,UpperCanada,UC13_481,541.32,542.24,2.62,V4Ma,Trachyte mafic altered,Trachyte
11223,UpperCanada,UC13_481,542.24,543.15,2.61,V4Ma,Trachyte mafic altered,Trachyte
11224,UpperCanada,UC13_481,543.15,544.07,2.61,V4Ma,Trachyte mafic altered,Trachyte
11225,UpperCanada,UC13_481,533.1,534.01,2.92,V4Ma,Trachyte mafic altered,Trachyte
11226,UpperCanada,UC13_481,534.01,534.92,2.75,V4Ma,Trachyte mafic altered,Trachyte
11227,UpperCanada,UC13_481,534.92,535.84,2.74,V4Ma,Trachyte mafic altered,Trachyte
11228,UpperCanada,UC13_481,535.84,536.75,2.82,V4Ma,Trachyte mafic altered,Trachyte
11229,UpperCanada,UC13_481,536.75,537.67,2.79,V4Ma,Trachyte mafic altered,Trachyte
11230,UpperCanada,UC13_481,537.67,538.58,2.65,V4Ma,Trachyte mafic altered,Trachyte
11231,UpperCanada,UC13_481,530.35,531.27,2.84,V4Ma,Trachyte mafic altered,Trachyte
11232,UpperCanada,UC13_481,531.27,532.18,2.78,V4Ma,Trachyte mafic altered,Trachyte
11233,UpperCanada,UC13_481,532.18,533.1,2.65,V4Ma,Trachyte mafic altered,Trachyte
11234,UpperCanada,UC13_481,560.53,561.44,2.63,ALB,Albite,Albitite
11235,UpperCanada,UC13_481,561.44,562.36,2.68,ALB,Albite,Albitite
11236,UpperCanada,UC13_481,562.36,563.27,2.55,ALB,Albite,Albitite
11237,UpperCanada,UC13_481,563.27,564.18,2.67,ALB,Albite,Albitite
11238,UpperCanada,UC13_481,564.18,565.1,2.79,ALB,Albite,Albitite
11239,UpperCanada,UC13_481,565.1,566.01,2.71,ALB,Albite,Albitite
11240,UpperCanada,UC13_481,555.04,555.96,2.63,ALB,Albite,Albitite
11241,UpperCanada,UC13_481,555.96,556.87,2.63,ALB,Albite,Albitite
11242,UpperCanada,UC13_481,556.87,557.78,2.67,ALB,Albite,Albitite
11243,UpperCanada,UC13_481,557.78,558.7,2.65,ALB,Albite,Albitite
11244,UpperCanada,UC13_481,558.7,559.61,2.67,ALB,Albite,Albitite
11245,UpperCanada,UC13_481,559.61,560.53,2.66,ALB,Albite,Albitite
11246,UpperCanada,UC13_481,549.55,550.47,2.63,ALB,Albite,Albitite
11247,UpperCanada,UC13_481,550.47,551.38,2.62,ALB,Albite,Albitite
11248,UpperCanada,UC13_481,551.38,552.3,2.66,ALB,Albite,Albitite
11249,UpperCanada,UC13_481,552.3,553.21,2.67,ALB,Albite,Albitite
11250,UpperCanada,UC13_481,553.21,554.13,2.06,ALB,Albite,Albitite
11251,UpperCanada,UC13_481,554.13,555.04,2.58,ALB,Albite,Albitite
11252,UpperCanada,UC13_481,547.73,548.64,2.6,ALB,Albite,Albitite
11253,UpperCanada,UC13_481,548.64,549.55,2.64,ALB,Albite,Albitite
11254,UpperCanada,UC13_481,577.6,578.51,2.78,V4MT,Trachyte mafic tuff,Trachyte
11255,UpperCanada,UC13_481,578.51,579.42,2.63,V4MT,Trachyte mafic tuff,Trachyte
11256,UpperCanada,UC13_481,571.8,572.72,2.7,V4MT,Trachyte mafic tuff,Trachyte
11257,UpperCanada,UC13_481,572.72,573.63,2.9,V4MT,Trachyte mafic tuff,Trachyte
11258,UpperCanada,UC13_481,573.63,574.55,2.83,V4MT,Trachyte mafic tuff,Trachyte
11259,UpperCanada,UC13_481,574.55,575.77,2.84,V4MT,Trachyte mafic tuff,Trachyte
11260,UpperCanada,UC13_481,575.77,576.68,2.61,V4MT,Trachyte mafic tuff,Trachyte
11261,UpperCanada,UC13_481,576.68,577.6,2.82,V4MT,Trachyte mafic tuff,Trachyte
11262,UpperCanada,UC13_481,566.01,567.23,2.75,V4MT,Trachyte mafic tuff,Trachyte
11263,UpperCanada,UC13_481,567.23,568.15,2.73,V4MT,Trachyte mafic tuff,Trachyte
11264,UpperCanada,UC13_481,568.15,569.06,2.73,V4MT,Trachyte mafic tuff,Trachyte
11265,UpperCanada,UC13_481,569.06,569.98,2.7,V4MT,Trachyte mafic tuff,Trachyte
11266,UpperCanada,UC13_481,569.98,570.89,2.86,V4MT,Trachyte mafic tuff,Trachyte
11267,UpperCanada,UC13_481,570.89,571.8,2.78,V4MT,Trachyte mafic tuff,Trachyte
11268,UpperCanada,UC13_481,594.06,594.97,2.83,FP,Feldspar Porphyry,Porphyry
11269,UpperCanada,UC13_481,594.97,595.88,2.81,FP,Feldspar Porphyry,Porphyry
11270,UpperCanada,UC13_481,595.88,596.8,2.86,FP,Feldspar Porphyry,Porphyry
11271,UpperCanada,UC13_481,588.57,589.48,2.67,FP,Feldspar Porphyry,Porphyry
11272,UpperCanada,UC13_481,589.48,590.4,2.73,FP,Feldspar Porphyry,Porphyry
11273,UpperCanada,UC13_481,590.4,591.31,2.67,FP,Feldspar Porphyry,Porphyry
11274,UpperCanada,UC13_481,591.31,592.23,2.72,FP,Feldspar Porphyry,Porphyry
11275,UpperCanada,UC13_481,592.23,593.14,2.67,FP,Feldspar Porphyry,Porphyry
11276,UpperCanada,UC13_481,593.14,594.06,2.73,FP,Feldspar Porphyry,Porphyry
11277,UpperCanada,UC13_481,583.08,584.0,2.68,FP,Feldspar Porphyry,Porphyry
11278,UpperCanada,UC13_481,584.0,584.91,2.67,FP,Feldspar Porphyry,Porphyry
11279,UpperCanada,UC13_481,584.91,585.83,2.64,FP,Feldspar Porphyry,Porphyry
11280,UpperCanada,UC13_481,585.83,586.74,2.77,FP,Feldspar Porphyry,Porphyry
11281,UpperCanada,UC13_481,586.74,587.65,2.68,FP,Feldspar Porphyry,Porphyry
11282,UpperCanada,UC13_481,587.65,588.57,2.66,FP,Feldspar Porphyry,Porphyry
11283,UpperCanada,UC13_481,580.34,581.25,2.69,FP,Feldspar Porphyry,Porphyry
11284,UpperCanada,UC13_481,581.25,582.17,2.69,FP,Feldspar Porphyry,Porphyry
11285,UpperCanada,UC13_481,582.17,583.08,2.74,FP,Feldspar Porphyry,Porphyry
11286,UpperCanada,UC13_481,599.54,600.46,2.76,V4T,Trachytic tuff,Trachyte
11287,UpperCanada,UC13_481,600.46,601.37,2.82,V4T,Trachytic tuff,Trachyte
11288,UpperCanada,UC13_481,601.37,602.28,2.79,V4T,Trachytic tuff,Trachyte
11289,UpperCanada,UC13_481,597.71,598.63,2.85,V4T,Trachytic tuff,Trachyte
11290,UpperCanada,UC13_481,598.63,599.54,2.85,V4T,Trachytic tuff,Trachyte
11291,UpperCanada,UC13_481,617.22,618.13,2.69,1Spa,Altered Syenite Porphyry,Syenite
11292,UpperCanada,UC13_481,618.13,619.05,2.7,1Spa,Altered Syenite Porphyry,Syenite
11293,UpperCanada,UC13_481,619.05,619.96,2.74,1Spa,Altered Syenite Porphyry,Syenite
